Folder ,Latitude,Longitude
71b300,29.19449617,79.1226336
71b300,29.1970785,79.11699124
71b300,29.19926127,79.11457658
71b300,29.20023498,79.11370888
71b300,29.20041585,79.11289919
71b300,29.20471887,79.10926312
71b300,29.2049969,79.10724208
71b300,29.20571536,79.10801053
71b300,29.20430388,79.10781305
71b300,29.2050844,79.09774035
71b300,29.20446104,79.09839146
71b300,29.20372266,79.09751773
71b300,29.20410458,79.09764748
71b300,29.16630315,79.08751745
71b300,29.1656778,79.08738334
71b300,29.16499214,79.08716843
71b300,29.15742669,79.08603083
71b300,29.15689058,79.08596981
71b300,29.17627428,79.01462037
71b300,29.17677164,79.01532847
71b300,29.18066379,79.01845559
71b300,29.18139618,79.01903998
71b300,29.17995305,79.02177986
71b300,29.29800304,78.83366548
71b300,29.29923341,78.83205615
71b300,29.29737645,78.82935718
71b300,29.29892435,78.83164309
71b300,29.29478787,78.81889455
71b300,29.29436594,78.81954465
71b300,29.30017869,78.79785296
71b300,29.29984098,78.7988732
71b300,29.14947943,79.07448392
71b300,29.062197,79.24845267
71b300,29.10462489,79.16295592
71b300,28.92735127,79.46305119
71b300,28.91964571,79.46904894
71b300,28.89416262,79.48333874
71b300,28.89330401,79.48245898
71b300,28.87484949,79.58634395
71b300,28.87423529,79.58764147
71b300,28.87331193,79.58964508
71b300,28.8727993,79.59259115
71b300,28.86922526,79.59823016
71b300,28.86638455,79.62218229
71b300,28.87525963,79.6583036
71b300,29.09623498,79.69215643
71b300,29.10299905,79.69305262
71b300,28.8917271,79.5351265
71b300,28.88252197,79.56629645
71b300,28.87968662,79.57781889
71b300,28.87564541,79.58363559
71b300,28.86593531,79.62298796
71b300,28.89499069,79.68566515
71b300,28.92954357,79.74219706
71b300,28.871533,79.59537495
71b300,29.02225423,79.4547759
71b300,29.02416425,79.45509709
71b300,29.02623285,79.45511553
71b300,29.02822635,79.4548272
71b300,29.19353059,79.12410043
71b300,29.1790371,79.1361982
