Folder,Latitude,Longitude
71b300,29.04192036,79.43569466
71b300,29.03966653,79.43330918
71b300,29.038115,79.42768324
71b300,29.03275057,79.44390625
71b300,29.03293525,79.44205586
71b300,29.04200331,79.43299938
71b300,29.03497992,79.42687724
71b300,29.03210125,79.41669691
71b300,29.0146777,79.39963236
71b300,29.01387551,79.39846862
71b300,29.01457274,79.39863458
71b300,29.01371659,79.39684153
71b300,29.01457391,79.39690892
71b300,28.98124309,79.3604416
71b300,28.98337677,79.35428191
71b300,28.98743959,79.34854265
71b300,28.98844111,79.34965979
71b300,28.98962651,79.3487864
71b300,28.98497663,79.33937084
71b300,28.9903632,79.3395995
71b300,28.99449583,79.33261536
71b300,28.99400433,79.33118843
71b300,28.99602749,79.32635844
71b300,28.99495477,79.32251684
71b300,28.99449905,79.32351898
71b300,28.99631311,79.31867726
71b300,28.99844032,79.31652378
71b300,28.99814825,79.31305267
71b300,28.99663363,79.31432538
71b300,28.9966653,79.31628574
71b300,29.00217735,79.31193653
71b300,29.00206328,79.30261452
71b300,29.00202809,79.30484544
71b300,29.00387222,79.30296555
71b300,29.00595823,79.29665867
71b300,29.00637753,79.29294918
71b300,29.00749675,79.30105649
71b300,29.0061887,79.30732984
71b300,29.00025666,79.30250455
71b300,29.00005462,79.30473179
71b300,28.99997192,79.30750586
71b300,29.00981197,79.30199124
71b300,29.00796942,79.2987689
71b300,29.00799082,79.29398652
71b300,29.00914638,79.29083157
71b300,29.01339378,79.28880382
71b300,29.01304399,79.28590368
71b300,29.01226085,79.28537562
71b300,29.01294548,79.28515334
71b300,29.01303285,79.28440467
71b300,29.01680688,79.2835705
71b300,29.01581237,79.28464372
71b300,29.01744076,79.28496525
71b300,29.01595046,79.28341828
71b300,29.01426312,79.28281914
71b300,29.01845665,79.28157493
71b300,29.01899465,79.28029887
71b300,29.019384,79.27971784
71b300,29.01764394,79.28045545
71b300,29.01836606,79.27925114
71b300,29.01839831,79.27834019
71b300,29.02058224,79.27613307
71b300,29.03035788,79.27160852
71b300,29.03402633,79.27438963
71b300,29.0371037,79.27358095
71b300,29.03928078,79.2729922
71b300,29.04175621,79.27236691
71b300,29.0369671,79.27185964
71b300,29.03916118,79.27136812
71b300,29.04106386,79.27064493
71b300,29.04068075,79.26835097
71b300,29.04277685,79.27016985
71b300,29.04339973,79.2717376
71b300,29.03701253,79.27484795
71b300,29.03870214,79.27477486
71b300,29.04107265,79.27465215
71b300,29.04293426,79.27490026
71b300,29.0449245,79.27332513
71b300,29.04185587,79.27789729
71b300,29.04523286,79.27650053
71b300,29.04426002,79.27808806
71b300,29.04416007,79.26849648
71b300,29.04601956,79.26773541
71b300,29.04663949,79.265076
71b300,29.0479101,79.26385626
71b300,29.04518948,79.26356457
71b300,29.05116202,79.26811025
71b300,29.05237836,79.26549744
71b300,29.05413542,79.26413119
71b300,29.05597744,79.2644782
71b300,29.05516473,79.26631015
71b300,29.05735579,79.26715136
71b300,29.05450793,79.26804453
71b300,29.05523331,79.26099602
71b300,29.0543397,79.25875772
71b300,29.05266089,79.25902963
71b300,29.05191703,79.25688218
71b300,29.05533589,79.25680541
71b300,29.05358412,79.25492182
71b300,29.05755332,79.25859611
71b300,29.05766879,79.2550328
71b300,29.05699501,79.25340973
71b300,29.05504486,79.25308149
71b300,29.059674,79.25285585
71b300,29.06037384,79.25139874
71b300,29.05972968,79.25111476
71b300,29.06470559,79.24584255
71b300,29.06497989,79.24150307
71b300,29.06325525,79.24089152
71b300,29.06225063,79.2416003
71b300,29.06405148,79.236544
71b300,29.066211,79.23396271
71b300,29.06742276,79.23365023
71b300,29.06816798,79.23243519
71b300,29.06770526,79.23141595
71b300,29.06770526,79.23141595
71b300,29.06683227,79.23053652
71b300,29.06472229,79.23482202
71b300,29.0649582,79.2334494
71b300,29.06522488,79.23187662
71b300,29.06532012,79.23018783
71b300,29.06310432,79.23329785
71b300,29.06331268,79.23104547
71b300,29.06433253,79.23085872
71b300,29.06657263,79.23189707
71b300,29.06657614,79.22889937
71b300,29.0672358,79.22888763
71b300,29.06844901,79.22872167
71b300,29.06879216,79.22772221
71b300,29.06807889,79.22695242
71b300,29.06704502,79.22783721
71b300,29.06545229,79.22849167
71b300,29.06477123,79.22814902
71b300,29.0656583,79.22605488
71b300,29.06555281,79.22437582
71b300,29.06495146,79.22520965
71b300,29.06652222,79.22613133
71b300,29.06641115,79.22420584
71b300,29.06539573,79.22268435
71b300,29.06532891,79.22132079
71b300,29.06455906,79.22066633
71b300,29.06433809,79.22199033
71b300,29.06362391,79.22299448
71b300,29.06525243,79.21992805
71b300,29.06559354,79.21871938
71b300,29.06635137,79.22186024
71b300,29.06632588,79.22042694
71b300,29.06619811,79.21676572
71b300,29.06682377,79.21580583
71b300,29.06743683,79.21669431
71b300,29.06793852,79.21621051
71b300,29.06776152,79.21445601
71b300,29.06850469,79.2135179
71b300,29.06879685,79.21274845
71b300,29.07032155,79.21318363
71b300,29.0710348,79.21195284
71b300,29.07178263,79.2107502
71b300,29.07185149,79.20863193
71b300,29.07306436,79.20949258
71b300,29.07339666,79.20900844
71b300,29.07250701,79.20784838
71b300,29.07305059,79.20734849
71b300,29.07397627,79.20812901
71b300,29.07374946,79.20658976
71b300,29.07448379,79.20565601
71b300,29.0749963,79.20483828
71b300,29.07557912,79.20410436
71b300,29.07530192,79.20642547
71b300,29.07596357,79.20537338
71b300,29.07707735,79.20471892
71b300,29.07789956,79.20320213
71b300,29.07890666,79.2044973
71b300,29.07631959,79.20332082
71b300,29.07672016,79.20278974
71b300,29.07606027,79.20152206
71b300,29.07784652,79.20076065
71b300,29.07734282,79.20172021
71b300,29.07916832,79.20222212
71b300,29.08387168,79.20048036
71b300,29.08846055,79.19584215
71b300,29.08949421,79.19289742
71b300,29.08960027,79.19390425
71b300,29.09024102,79.19366118
71b300,29.09128316,79.18604773
71b300,29.10960214,79.15975235
71b300,29.10843657,79.15870629
71b300,29.10732607,79.15779065
71b300,29.12060333,79.15154044
71b300,29.1212969,79.1509879
71b300,29.12041822,79.15090509
71b300,29.12102627,79.15027745
71b300,29.12200629,79.15048465
71b300,29.12191667,79.1496877
71b300,29.12291455,79.14980102
71b300,29.12367752,79.14909091
71b300,29.12285275,79.1486346
71b300,29.12462823,79.14828189
71b300,29.12495714,79.14746918
71b300,29.12398154,79.14705411
71b300,29.12531182,79.14678689
71b300,29.12428497,79.14611734
71b300,29.12761942,79.14335199
71b300,29.12817735,79.14253257
71b300,29.12872239,79.14438967
71b300,29.1292519,79.14349213
71b300,29.14169995,79.13049918
71b300,29.14273805,79.13161162
71b300,29.14346515,79.13276698
71b300,29.14877902,79.13998749
71b300,29.17107279,79.1422791
71b300,29.17140711,79.14123908
71b300,29.16995329,79.14098527
71b300,29.1686192,79.14038245
71b300,29.17561298,79.139731
71b300,29.17706438,79.14052058
71b300,29.17825697,79.14151333
71b300,29.17720108,79.13745113
71b300,29.17591128,79.1366126
71b300,29.18155601,79.13567416
71b300,29.18246491,79.13482256
71b300,29.18321251,79.13696062
71b300,29.18450924,79.13831815
71b300,29.18565697,79.13147684
71b300,29.18634747,79.1309404
71b300,29.18587182,79.13061418
71b300,29.19273945,79.12525009
71b300,29.19277779,79.12377823
71b300,29.19330844,79.12286628
71b300,29.1953751,79.1200969
71b300,29.19594202,79.1208858
71b300,29.19655197,79.12014954
71b300,29.19743849,79.12117448
71b300,29.1948067,79.11932442
71b300,29.19918986,79.11741436
71b300,29.19992739,79.11640014
71b300,29.20117913,79.11813017
71b300,29.20336503,79.11107562
71b300,29.20838023,79.104008
71b300,29.20919203,79.10303436
71b300,29.20973547,79.10436675
71b300,29.21082087,79.10124868
71b300,29.21116414,79.09829658
71b300,29.20977614,79.09800455
71b300,29.20961548,79.098773
71b300,29.2091095,79.09931984
71b300,29.20888739,79.09783557
71b300,29.20971323,79.09695882
71b300,29.20607767,79.09791235
71b300,29.20583769,79.09825835
71b300,29.20213293,79.097335
71b300,29.20285288,79.09745
71b300,29.20243379,79.09642641
71b300,29.19776395,79.09610722
71b300,29.19648816,79.09575786
71b300,29.19778561,79.09546684
